mismatch	number
0	39
1	38
2	39
3	40
4	33
5	29
6	20
7	32
8	34
9	35
10	47
11	37
12	62
13	65
14	68
15	84
16	66
17	75
18	77
19	73
20	71
21	77
22	57
23	79
24	64
25	61
26	52
27	63
28	47
29	62
30	44
31	59
32	60
33	58
34	59
35	64
36	65
37	49
38	50
39	49
40	50
41	55
42	69
43	53
44	43
45	33
46	25
47	39
48	44
49	59
50	44
51	62
52	52
53	48
54	31
55	34
56	20
57	27
58	22
59	13
60	13
61	8
62	10
63	8
64	8
65	5
66	8
67	8
68	9
69	9
70	17
71	23
72	25
73	31
74	56
75	46
76	57
77	59
78	66
79	77
80	74
81	65
82	89
83	57
84	81
85	58
86	65
87	53
88	46
89	54
90	47
91	40
92	50
93	31
94	31
95	32
96	15
97	18
98	17
99	22
100	20
101	16
102	12
103	15
104	5
105	11
106	9
107	10
108	11
109	11
110	9
111	12
112	12
113	11
114	14
115	8
116	2
117	7
118	8
119	8
120	6
121	8
122	9
123	10
124	6
125	17
126	10
127	19
128	7
129	18
130	5
131	6
132	2
133	3
134	4
135	4
136	11
137	6
138	4
139	9
140	6
141	5
142	4
143	3
144	4
145	2
146	3
147	3
148	4
149	2
150	3
151	1
152	3
153	4
155	6
156	1
157	2
158	1
159	2
160	3
161	3
162	2
163	3
164	5
165	3
166	4
167	8
168	12
169	10
170	3
171	9
172	5
173	11
174	10
175	8
176	10
177	3
178	6
179	3
180	4
181	2
182	4
184	2
185	5
186	2
188	2
189	2
190	4
191	2
193	2
197	3
201	3
202	1
203	2
207	1
209	4
210	1
211	6
212	4
213	6
214	5
215	3
216	5
217	5
218	4
219	4
220	1
221	2
222	2
223	2
224	3
225	6
226	2
227	4
228	3
229	3
230	4
231	1
232	4
233	9
234	5
235	2
236	4
237	6
238	1
239	3
240	7
241	4
242	7
243	10
244	3
245	7
246	3
247	1
248	3
250	3
251	4
252	1
253	5
254	6
256	3
257	5
259	2
260	5
261	1
263	2
269	1
273	3
274	2
275	2
277	2
280	1
281	2
282	2
283	4
284	6
285	9
286	11
287	9
288	9
289	12
290	15
291	11
292	4
293	2
294	4
295	6
296	2
297	6
298	2
299	6
300	2
301	3
302	2
307	1
308	4
309	1
314	2
315	4
316	2
317	4
318	4
319	6
320	7
321	7
322	12
323	14
324	18
325	19
326	20
327	16
328	17
329	22
330	13
331	12
332	11
333	11
334	12
335	5
336	2
337	3
338	4
339	3
340	3
341	2
342	3
343	2
344	1
345	2
348	1
350	1
351	1
352	2
353	4
354	3
355	2
356	3
357	1
358	4
359	9
360	12
361	11
362	12
363	5
364	4
365	7
366	4
367	4
368	4
369	2
370	1
372	1
374	3
375	3
376	5
377	2
378	3
379	6
380	7
381	1
382	6
383	3
384	4
385	6
386	1
387	5
388	3
389	3
390	5
391	6
392	5
393	4
394	5
395	6
396	10
397	2
398	5
399	4
400	1
401	5
402	3
403	2
404	2
405	1
406	2
407	2
408	7
409	4
410	9
411	12
412	11
413	9
414	10
415	12
416	25
417	17
418	14
419	16
420	20
421	15
422	16
423	7
424	3
425	5
426	10
427	8
428	9
429	11
430	10
431	4
432	5
433	7
434	6
435	1
436	1
438	2
441	1
442	4
443	2
445	1
446	4
448	1
449	3
450	2
451	2
452	1
453	5
454	8
455	8
456	5
457	16
458	9
459	7
460	10
461	9
462	3
463	11
464	4
466	1
467	5
468	3
471	1
472	1
475	2
476	5
477	3
480	2
481	6
482	1
485	3
490	1
491	1
493	1
507	2
508	5
509	3
510	3
511	4
512	4
513	4
514	4
515	4
516	7
517	5
518	2
519	2
521	5
522	2
523	2
524	2
525	1
526	2
527	2
529	2
530	3
531	1
532	4
533	2
534	1
535	2
536	1
537	1
538	2
539	1
543	2
544	1
546	2
547	1
549	1
552	3
553	3
554	2
555	4
556	5
557	7
558	1
559	4
560	1
561	3
562	2
565	4
566	3
567	1
569	2
570	1
571	2
572	1
573	1
576	1
577	2
579	1
580	1
581	1
582	2
583	1
590	1
593	1
597	1
602	2
608	2
609	6
610	6
611	5
612	7
613	1
614	9
615	5
616	2
617	3
618	9
619	4
620	5
621	1
622	2
624	1
625	1
627	3
628	1
632	1
633	2
638	1
641	1
650	3
651	11
652	13
653	21
654	29
655	20
656	29
657	20
658	19
659	23
660	15
661	18
662	13
663	12
664	9
665	4
667	3
668	2
669	1
670	3
671	3
672	4
673	2
674	1
675	5
676	3
677	2
678	1
679	1
687	1
689	1
690	2
692	2
693	2
694	6
695	11
696	11
697	9
698	15
699	16
700	8
701	11
702	7
703	9
704	3
705	4
706	3
709	1
710	2
712	2
713	1
718	2
719	1
720	2
721	3
725	1
726	4
727	4
728	1
743	1
744	2
745	5
746	2
749	1
752	1
753	4
754	5
755	9
756	6
757	8
758	31
759	32
760	65
761	45
762	27
763	26
764	25
765	57
766	48
767	40
768	26
769	13
770	7
771	8
772	2
773	1
775	6
776	7
777	2
779	1
