Genome	EXC	INF	LNF	PLOT	NIPH	ALM	ASM
GCA_000159135.1_ASM15913v1_genomic.fa	1689	573	2603	7	2	22	38
GCA_000988225.1_ASM98822v1_genomic.fa	248	1763	2797	1	16	16	93
GCA_001053405.1_ASM105340v1_genomic.fa	513	1849	2481	5	25	14	47
GCA_001053435.1_ASM105343v1_genomic.fa	2153	204	2487	6	21	17	46
GCA_001055405.1_ASM105540v1_genomic.fa	1034	1250	2564	21	6	17	42
GCA_001058455.1_ASM105845v1_genomic.fa	1294	954	2608	10	8	18	42
GCA_001059665.1_ASM105966v1_genomic.fa	1236	1068	2547	11	11	19	42
GCA_001059955.1_ASM105995v1_genomic.fa	2301	3	2548	11	12	18	41
GCA_001076975.1_ASM107697v1_genomic.fa	1096	1182	2578	4	10	19	45
GCA_002156805.1_ASM215680v1_genomic.fa	411	1934	2532	0	24	14	19
GCA_002775055.1_ASM277505v1_genomic.fa	521	1750	2538	9	47	19	50
GCA_002775105.1_ASM277510v1_genomic.fa	1098	1002	2613	2	64	16	139
GCA_002803965.1_ASM280396v1_genomic.fa	1498	849	2486	1	30	26	44
GCA_002804085.1_ASM280408v1_genomic.fa	1790	567	2473	0	33	19	52
GCA_002865925.1_ASM286592v1_genomic.fa	1576	499	2681	8	30	18	122
GCA_003202245.1_ASM320224v1_genomic.fa	985	1503	2328	4	44	26	44
GCA_003202295.1_ASM320229v1_genomic.fa	2034	300	2515	4	17	20	44
GCA_003202355.1_ASM320235v1_genomic.fa	2009	332	2514	5	13	20	41
GCA_004138065.1_ASM413806v1_genomic.fa	1878	468	2506	5	18	22	37
GCA_006538485.1_ASM653848v1_genomic.fa	2059	43	2565	2	212	17	36
GCA_008373895.1_ASM837389v1_genomic.fa	1983	327	2537	6	18	23	40
GCA_011682935.1_ASM1168293v1_genomic.fa	1715	692	2401	8	56	22	40
GCA_011682945.1_ASM1168294v1_genomic.fa	2421	20	2399	9	19	23	43
GCA_011682965.1_ASM1168296v1_genomic.fa	485	1805	2564	9	20	18	33
GCA_011682985.1_ASM1168298v1_genomic.fa	2264	28	2564	9	19	19	31
GCA_014610855.1_ASM1461085v1_genomic.fa	1067	1078	2607	0	58	23	101
GCA_014610885.1_ASM1461088v1_genomic.fa	1718	454	2633	0	25	14	90
GCA_015889045.1_PDT000902873.1_genomic.fa	2343	72	2407	12	37	18	45
GCA_015889065.1_PDT000902871.1_genomic.fa	1243	1133	2436	13	44	25	40
GCA_015889085.1_PDT000902868.1_genomic.fa	2253	6	2591	8	31	17	28
