FILE	missing	percentage
GCA_001053405.1_ASM105340v1_genomic.fa	2527	0.5191043549712407
GCA_001053435.1_ASM105343v1_genomic.fa	2531	0.5199260476581758
GCA_001058455.1_ASM105845v1_genomic.fa	2637	0.5417009038619556
GCA_002803965.1_ASM280396v1_genomic.fa	2543	0.522391125718981
GCA_002804085.1_ASM280408v1_genomic.fa	2534	0.5205423171733772
GCA_004138065.1_ASM413806v1_genomic.fa	2548	0.5234182415776499
GCA_008373895.1_ASM837389v1_genomic.fa	2579	0.5297863599013969
GCA_011682945.1_ASM1168294v1_genomic.fa	2458	0.5049301561216105
GCA_011682965.1_ASM1168296v1_genomic.fa	2597	0.5334839769926047
GCA_011682985.1_ASM1168298v1_genomic.fa	2595	0.5330731306491372
GCA_015889045.1_PDT000902873.1_genomic.fa	2483	0.5100657354149548
GCA_015889065.1_PDT000902871.1_genomic.fa	2521	0.5178718159408382
GCA_015889085.1_PDT000902868.1_genomic.fa	2628	0.5398520953163517
GCA_015889105.1_PDT000902870.1_genomic.fa	2552	0.524239934264585
GCA_015889125.1_PDT000902869.1_genomic.fa	2605	0.535127362366475
GCA_015889145.1_PDT000902867.1_genomic.fa	2631	0.5404683648315529
GCA_015889225.1_PDT000902826.1_genomic.fa	2636	0.5414954806902219
GCA_015889245.1_PDT000902827.1_genomic.fa	2637	0.5417009038619556
GCA_015889265.1_PDT000902829.1_genomic.fa	2627	0.5396466721446179
GCA_015889285.1_PDT000902821.1_genomic.fa	2479	0.5092440427280197
GCA_015889305.1_PDT000902832.1_genomic.fa	2579	0.5297863599013969
GCA_015889325.1_PDT000902863.1_genomic.fa	2596	0.533278553820871
GCA_015889345.1_PDT000902865.1_genomic.fa	2609	0.5359490550534101
GCA_015889355.1_PDT000902823.1_genomic.fa	2652	0.5447822514379622
GCA_015889385.1_PDT000902830.1_genomic.fa	2623	0.5388249794576828
GCA_015889405.1_PDT000902833.1_genomic.fa	2524	0.5184880854560394
GCA_015889425.1_PDT000902860.1_genomic.fa	2614	0.5369761709120788
GCA_015889445.1_PDT000902864.1_genomic.fa	2620	0.5382087099424815
GCA_015889455.1_PDT000902825.1_genomic.fa	2584	0.5308134757600658
GCA_015889485.1_PDT000902828.1_genomic.fa	2624	0.5390304026294166
GCA_015889505.1_PDT000902862.1_genomic.fa	2422	0.4975349219391948
GCA_015889525.1_PDT000902859.1_genomic.fa	2419	0.49691865242399347
GCA_015889535.1_PDT000902831.1_genomic.fa	2620	0.5382087099424815
GCA_015889565.1_PDT000902850.1_genomic.fa	2577	0.5293755135579293
GCA_015889575.1_PDT000902861.1_genomic.fa	2422	0.4975349219391948
GCA_015889605.1_PDT000902858.1_genomic.fa	2449	0.5030813475760065
GCA_015889645.1_PDT000902852.1_genomic.fa	2601	0.5343056696795399
GCA_015889655.1_PDT000902857.1_genomic.fa	2504	0.514379622021364
GCA_015889685.1_PDT000902853.1_genomic.fa	2626	0.5394412489728841
GCA_015889705.1_PDT000902855.1_genomic.fa	2473	0.5080115036976172
GCA_015889725.1_PDT000902854.1_genomic.fa	2621	0.5384141331142153
GCA_015889745.1_PDT000902849.1_genomic.fa	2562	0.5262941659819227
GCA_015889765.1_PDT000902848.1_genomic.fa	2613	0.5367707477403452
GCA_015889785.1_PDT000902847.1_genomic.fa	2606	0.5353327855382087
GCA_015889805.1_PDT000902846.1_genomic.fa	2606	0.5353327855382087
GCA_015889825.1_PDT000902844.1_genomic.fa	2472	0.5078060805258833
GCA_015889845.1_PDT000902845.1_genomic.fa	2529	0.5195152013147083
GCA_015889885.1_PDT000902841.1_genomic.fa	2488	0.5110928512736237
GCA_015889905.1_PDT000902837.1_genomic.fa	2510	0.5156121610517667
GCA_015889925.1_PDT000902835.1_genomic.fa	2522	0.5180772391125719
GCA_015889945.1_PDT000902843.1_genomic.fa	2479	0.5092440427280197
GCA_015889985.1_PDT000902818.1_genomic.fa	2552	0.524239934264585
GCA_015890005.1_PDT000902819.1_genomic.fa	2478	0.5090386195562859
GCA_015890025.1_PDT000902815.1_genomic.fa	2584	0.5308134757600658
GCA_015890045.1_PDT000902816.1_genomic.fa	2604	0.5349219391947412
GCA_015890065.1_PDT000902814.1_genomic.fa	2476	0.5086277732128184
GCA_015890085.1_PDT000902800.1_genomic.fa	2501	0.5137633525061627
GCA_015890105.1_PDT000902813.1_genomic.fa	2603	0.5347165160230074
GCA_015890125.1_PDT000902811.1_genomic.fa	2608	0.5357436318816762
GCA_015890145.1_PDT000902810.1_genomic.fa	2561	0.526088742810189
GCA_015890185.1_PDT000902807.1_genomic.fa	2599	0.5338948233360723
GCA_015890205.1_PDT000902812.1_genomic.fa	2582	0.5304026294165982
GCA_015890225.1_PDT000902806.1_genomic.fa	2508	0.5152013147082991
GCA_015890245.1_PDT000902808.1_genomic.fa	2595	0.5330731306491372
GCA_015890265.1_PDT000902804.1_genomic.fa	2422	0.4975349219391948
GCA_015890285.1_PDT000902803.1_genomic.fa	2466	0.5065735414954806
GCA_015890305.1_PDT000902801.1_genomic.fa	2379	0.48870172555464253
GCA_015890325.1_PDT000902802.1_genomic.fa	2505	0.5145850451930978
GCA_015890345.1_PDT000902799.1_genomic.fa	2523	0.5182826622843058
GCA_015890365.1_PDT000902798.1_genomic.fa	2470	0.5073952341824157
GCA_015890375.1_PDT000902797.1_genomic.fa	2603	0.5347165160230074
GCA_015890425.1_PDT000902795.1_genomic.fa	2620	0.5382087099424815
GCA_015890445.1_PDT000902794.1_genomic.fa	2643	0.5429334428923582
GCA_015890465.1_PDT000902792.1_genomic.fa	2541	0.5219802793755135
GCA_015890485.1_PDT000902793.1_genomic.fa	2508	0.5152013147082991
GCA_015890505.1_PDT000902790.1_genomic.fa	2555	0.5248562037797864
GCA_015890525.1_PDT000902791.1_genomic.fa	2475	0.5084223500410847
GCA_015890545.1_PDT000902789.1_genomic.fa	2512	0.5160230073952341
GCA_015890565.1_PDT000902785.1_genomic.fa	2596	0.533278553820871
GCA_015890585.1_PDT000902786.1_genomic.fa	2614	0.5369761709120788
GCA_015890605.1_PDT000902788.1_genomic.fa	2620	0.5382087099424815
GCA_015890625.1_PDT000902784.1_genomic.fa	2613	0.5367707477403452
GCA_015890655.1_PDT000902782.1_genomic.fa	2620	0.5382087099424815
GCA_015890685.1_PDT000902773.1_genomic.fa	2617	0.5375924404272803
GCA_015890705.1_PDT000902753.1_genomic.fa	2556	0.5250616269515201
GCA_015890725.1_PDT000902756.1_genomic.fa	2536	0.5209531635168447
GCA_015890745.1_PDT000902747.1_genomic.fa	2630	0.5402629416598193
GCA_015890765.1_PDT000902745.1_genomic.fa	2481	0.5096548890714873
GCA_015890785.1_PDT000902779.1_genomic.fa	2554	0.5246507806080526
GCA_015890805.1_PDT000902751.1_genomic.fa	2619	0.5380032867707477
GCA_015890825.1_PDT000902746.1_genomic.fa	2567	0.5273212818405917
GCA_015890845.1_PDT000902752.1_genomic.fa	2557	0.5252670501232539
GCA_015890885.1_PDT000902778.1_genomic.fa	2615	0.5371815940838127
GCA_015890905.1_PDT000902755.1_genomic.fa	2603	0.5347165160230074
GCA_015890925.1_PDT000902767.1_genomic.fa	2626	0.5394412489728841
GCA_015890945.1_PDT000902768.1_genomic.fa	2624	0.5390304026294166
GCA_015890965.1_PDT000902766.1_genomic.fa	2528	0.5193097781429745
GCA_015890985.1_PDT000902775.1_genomic.fa	2609	0.5359490550534101
GCA_015891005.1_PDT000902765.1_genomic.fa	2617	0.5375924404272803
GCA_015891025.1_PDT000902769.1_genomic.fa	2628	0.5398520953163517
GCA_015891045.1_PDT000902764.1_genomic.fa	2566	0.5271158586688578
GCA_015891065.1_PDT000902777.1_genomic.fa	2449	0.5030813475760065
GCA_015891085.1_PDT000902776.1_genomic.fa	2535	0.520747740345111
GCA_015891105.1_PDT000902763.1_genomic.fa	2619	0.5380032867707477
GCA_015891125.1_PDT000902762.1_genomic.fa	2618	0.5377978635990139
GCA_015891145.1_PDT000902770.1_genomic.fa	2571	0.5281429745275268
GCA_015891165.1_PDT000902748.1_genomic.fa	2553	0.5244453574363188
GCA_015891185.1_PDT000902759.1_genomic.fa	2603	0.5347165160230074
GCA_015891205.1_PDT000902744.1_genomic.fa	2618	0.5377978635990139
GCA_015891225.1_PDT000902760.1_genomic.fa	2549	0.5236236647493837
GCA_015891245.1_PDT000902758.1_genomic.fa	2605	0.535127362366475
GCA_015891265.1_PDT000902757.1_genomic.fa	2612	0.5365653245686113
GCA_015891285.1_PDT000902742.1_genomic.fa	2601	0.5343056696795399
GCA_015891305.1_PDT000902739.1_genomic.fa	2499	0.5133525061626951
GCA_015891325.1_PDT000902741.1_genomic.fa	2623	0.5388249794576828
GCA_015891345.1_PDT000902740.1_genomic.fa	2510	0.5156121610517667
GCA_015891365.1_PDT000902743.1_genomic.fa	2544	0.5225965488907149
GCA_015891385.1_PDT000902736.1_genomic.fa	2550	0.5238290879211175
GCA_015891405.1_PDT000902737.1_genomic.fa	2535	0.520747740345111
