gene	PC	NDC
GCA-011682935-protein1725.fasta	2	237
GCA-015889965-protein703.fasta	4	266
GCA-016084495-protein2040.fasta	4	267
GCA-015889605-protein235.fasta	5	261
GCA-016088575-protein2681.fasta	5	265
GCA-001053435-protein534.fasta	6	39
GCA-015890365-protein599.fasta	6	247
GCA-000159135-protein864.fasta	6	5
GCA-000988225-protein2170.fasta	6	264
GCA-016084495-protein2041.fasta	6	264
GCA-016088575-protein2607.fasta	6	263
GCA-015946945-protein2402.fasta	8	263
GCA-002804085-protein792.fasta	9	163
GCA-015890405-protein2337.fasta	9	180
GCA-015891445-protein2036.fasta	9	260
GCA-016084535-protein1677.fasta	9	262
GCA-016084555-protein2034.fasta	10	253
GCA-015889965-protein1667.fasta	12	103
GCA-015889105-protein1347.fasta	18	249
GCA-015891885-protein1876.fasta	18	252
GCA-011682935-protein1878.fasta	23	232
GCA-014610855-protein482.fasta	23	243
GCA-001053405-protein2272.fasta	39	229
GCA-900683645-protein2348.fasta	39	231
GCA-001053405-protein2249.fasta	40	212
GCA-002775105-protein1928.fasta	40	222
GCA-001059665-protein2579.fasta	41	225
GCA-015889965-protein680.fasta	41	230
GCA-015889105-protein1350.fasta	42	227
GCA-016084555-protein1376.fasta	42	227
GCA-014610855-protein34.fasta	48	221
GCA-015889505-protein2384.fasta	48	219
GCA-000988225-protein1470.fasta	49	198
GCA-001053405-protein745.fasta	49	207
GCA-003202245-protein1302.fasta	54	211
GCA-002775105-protein2160.fasta	55	216
GCA-014610855-protein132.fasta	55	215
GCA-011682935-protein1946.fasta	55	193
GCA-015889625-protein2404.fasta	55	216
GCA-001053405-protein2285.fasta	55	186
GCA-015945815-protein2228.fasta	55	205
GCA-001053405-protein1887.fasta	61	186
GCA-002156805-protein1828.fasta	68	3
GCA-002775105-protein1068.fasta	68	203
GCA-002775105-protein441.fasta	78	193
GCA-015889685-protein2244.fasta	78	181
GCA-015889625-protein2288.fasta	80	187
GCA-015889685-protein2254.fasta	80	190
GCA-000159135-protein2412.fasta	102	141
GCA-000988225-protein1940.fasta	102	27
GCA-000159135-protein1989.fasta	132	135
GCA-002775055-protein1489.fasta	132	133
GCA-002156805-protein1373.fasta	142	128
GCA-002775055-protein2380.fasta	142	91
GCA-011682965-protein16.fasta	169	102
GCA-015892295-protein1403.fasta	169	56
GCA-002865925-protein795.fasta	184	5
GCA-011682965-protein1820.fasta	184	85
GCA-002156805-protein178.fasta	209	57
GCA-015891905-protein7.fasta	209	61
GCA-000159135-protein2175.fasta	261	5
GCA-002156805-protein2306.fasta	261	9
GCA-002156805-protein1877.fasta	267	2
GCA-016403285-protein16.fasta	267	4
GCA-002775055-protein2017.fasta	270	1
GCA-014610855-protein870.fasta	270	1
