Threshold	Removed_genomes
0	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891545.1_PDT000902732.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016084495.1_PDT000200506.2_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945575.1_PDT000670951.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS21.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016085355.1_PDT000173738.2_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_900683645.1_57792_F02_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_001058455.1_ASM105845v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_008373895.1_ASM837389v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891345.1_PDT000902740.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS30.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947025.1_PDT000670923.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:B72.fa results_all/results_20221004T143059/results_alleles.tsv:CS1.fa results_all/results_20221004T143059/results_alleles.tsv:CS5.fa results_all/results_20221004T143059/results_alleles.tsv:CS8.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016889445.1_ASM1688944v1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS26.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_002803965.1_ASM280396v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890765.1_PDT000902745.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016728105.1_ASM1672810v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890225.1_PDT000902806.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS15.fa results_all/results_20221004T143059/results_alleles.tsv:CS9.fa results_all/results_20221004T143059/results_alleles.tsv:CS11.fa results_all/results_20221004T143059/results_alleles.tsv:CS13.fa results_all/results_20221004T143059/results_alleles.tsv:CS25.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890965.1_PDT000902766.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_001053405.1_ASM105340v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_001053435.1_ASM105343v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890205.1_PDT000902812.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_018144015.1_PDT001014179.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_002804085.1_ASM280408v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890545.1_PDT000902789.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS2.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891665.1_PDT000902707.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891365.1_PDT000902743.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945475.1_PDT000670955.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947045.1_PDT000670920.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889685.1_PDT000902853.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015913055.1_PDT000902729.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891065.1_PDT000902777.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS32.fa results_all/results_20221004T143059/results_alleles.tsv:CS3.fa results_all/results_20221004T143059/results_alleles.tsv:CS6.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946985.1_PDT000670921.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015892105.1_PDT000902701.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891025.1_PDT000902769.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS17.fa results_all/results_20221004T143059/results_alleles.tsv:CS24.fa results_all/results_20221004T143059/results_alleles.tsv:CS29.fa results_all/results_20221004T143059/results_alleles.tsv:CS7.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889725.1_PDT000902854.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015944755.1_PDT000670972.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015944615.1_PDT000670976.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945875.1_PDT000670961.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946485.1_PDT000670933.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945595.1_PDT000670952.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946645.1_PDT000670932.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946585.1_PDT000670927.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889325.1_PDT000902863.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890885.1_PDT000902778.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS12.fa results_all/results_20221004T143059/results_alleles.tsv:CS22.fa results_all/results_20221004T143059/results_alleles.tsv:CS28.fa results_all/results_20221004T143059/results_alleles.tsv:CS33.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016084535.1_PDT000173735.3_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890945.1_PDT000902768.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891565.1_PDT000902726.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891505.1_PDT000902731.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891925.1_PDT000902714.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945935.1_PDT000670958.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946825.1_PDT000670908.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945675.1_PDT000670954.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947125.1_PDT000670900.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890785.1_PDT000902779.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889355.1_PDT000902823.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890585.1_PDT000902786.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946945.1_PDT000670935.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891465.1_PDT000902735.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890625.1_PDT000902784.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015892025.1_PDT000902702.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890465.1_PDT000902792.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889645.1_PDT000902852.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890605.1_PDT000902788.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891905.1_PDT000902717.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015892065.1_PDT000902705.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890425.1_PDT000902795.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890445.1_PDT000902794.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946325.1_PDT000670957.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889305.1_PDT000902832.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945635.1_PDT000670971.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947065.1_PDT000670912.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889655.1_PDT000902857.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891985.1_PDT000902704.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890685.1_PDT000902773.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890005.1_PDT000902819.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945805.1_PDT000670967.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016088575.1_PDT000133403.2_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890805.1_PDT000902751.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946265.1_PDT000670956.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891105.1_PDT000902763.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945915.1_PDT000670960.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946845.1_PDT000670936.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_004138065.1_ASM413806v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891525.1_PDT000902730.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890305.1_PDT000902801.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891765.1_PDT000902723.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS18.fa results_all/results_20221004T143059/results_alleles.tsv:CS20.fa results_all/results_20221004T143059/results_alleles.tsv:CS23.fa results_all/results_20221004T143059/results_alleles.tsv:CS31.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889745.1_PDT000902849.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946965.1_PDT000670922.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889265.1_PDT000902829.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889705.1_PDT000902855.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889825.1_PDT000902844.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015892005.1_PDT000902711.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891445.1_PDT000902734.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945955.1_PDT000670948.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946105.1_PDT000670940.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945275.1_PDT000670985.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS19.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945795.1_PDT000670963.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891865.1_PDT000902716.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891245.1_PDT000902758.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889045.1_PDT000902873.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891805.1_PDT000902718.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890745.1_PDT000902747.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891045.1_PDT000902764.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946625.1_PDT000670913.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890705.1_PDT000902753.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015944815.1_PDT000670974.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945735.1_PDT000670968.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015892045.1_PDT000902706.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945895.1_PDT000670959.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946745.1_PDT000670924.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946775.1_PDT000670930.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946865.1_PDT000670907.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889225.1_PDT000902826.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889245.1_PDT000902827.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016109815.1_PDT000902817.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890285.1_PDT000902803.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891945.1_PDT000902713.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946905.1_PDT000670937.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890565.1_PDT000902785.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890145.1_PDT000902810.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945355.1_PDT000670939.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891325.1_PDT000902741.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890485.1_PDT000902793.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890655.1_PDT000902782.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891265.1_PDT000902757.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946525.1_PDT000670929.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890825.1_PDT000902746.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946925.1_PDT000670904.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890905.1_PDT000902755.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889535.1_PDT000902831.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890365.1_PDT000902798.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946465.1_PDT000670934.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945755.1_PDT000670950.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889445.1_PDT000902864.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946805.1_PDT000670902.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890925.1_PDT000902767.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890985.1_PDT000902775.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889605.1_PDT000902858.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890505.1_PDT000902790.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891225.1_PDT000902760.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891165.1_PDT000902748.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890025.1_PDT000902815.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889505.1_PDT000902862.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889525.1_PDT000902859.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889575.1_PDT000902861.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890265.1_PDT000902804.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891785.1_PDT000902722.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891845.1_PDT000902719.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946065.1_PDT000670946.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946005.1_PDT000670947.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946885.1_PDT000670903.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889905.1_PDT000902837.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889565.1_PDT000902850.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891145.1_PDT000902770.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891485.1_PDT000902728.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946085.1_PDT000670943.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946445.1_PDT000670938.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891405.1_PDT000902737.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891425.1_PDT000902733.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947005.1_PDT000670918.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946765.1_PDT000670911.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889425.1_PDT000902860.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947945.1_PDT000670906.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889455.1_PDT000902825.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945255.1_PDT000670980.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945785.1_PDT000670965.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891815.1_PDT000902720.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889345.1_PDT000902865.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889805.1_PDT000902846.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889285.1_PDT000902821.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890065.1_PDT000902814.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890525.1_PDT000902791.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946025.1_PDT000670942.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891205.1_PDT000902744.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015944715.1_PDT000670982.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_011682965.1_ASM1168296v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946145.1_PDT000670941.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891605.1_PDT000902727.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889925.1_PDT000902835.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891585.1_PDT000902709.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890725.1_PDT000902756.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889765.1_PDT000902848.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890185.1_PDT000902807.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890245.1_PDT000902808.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891285.1_PDT000902742.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889885.1_PDT000902841.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889945.1_PDT000902843.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890325.1_PDT000902802.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891385.1_PDT000902736.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889845.1_PDT000902845.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946725.1_PDT000670914.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891005.1_PDT000902765.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889385.1_PDT000902830.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891685.1_PDT000902725.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890125.1_PDT000902811.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891125.1_PDT000902762.1_genomic.fa
5	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891545.1_PDT000902732.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016084495.1_PDT000200506.2_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945575.1_PDT000670951.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS21.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016085355.1_PDT000173738.2_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_900683645.1_57792_F02_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_001058455.1_ASM105845v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_008373895.1_ASM837389v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891345.1_PDT000902740.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS30.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947025.1_PDT000670923.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:B72.fa results_all/results_20221004T143059/results_alleles.tsv:CS1.fa results_all/results_20221004T143059/results_alleles.tsv:CS5.fa results_all/results_20221004T143059/results_alleles.tsv:CS8.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016889445.1_ASM1688944v1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS26.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_002803965.1_ASM280396v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890765.1_PDT000902745.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016728105.1_ASM1672810v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890225.1_PDT000902806.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS15.fa results_all/results_20221004T143059/results_alleles.tsv:CS9.fa results_all/results_20221004T143059/results_alleles.tsv:CS11.fa results_all/results_20221004T143059/results_alleles.tsv:CS13.fa results_all/results_20221004T143059/results_alleles.tsv:CS25.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890965.1_PDT000902766.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_001053405.1_ASM105340v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_001053435.1_ASM105343v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890205.1_PDT000902812.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_018144015.1_PDT001014179.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_002804085.1_ASM280408v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890545.1_PDT000902789.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS2.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891665.1_PDT000902707.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891365.1_PDT000902743.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945475.1_PDT000670955.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947045.1_PDT000670920.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889685.1_PDT000902853.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015913055.1_PDT000902729.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891065.1_PDT000902777.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS32.fa results_all/results_20221004T143059/results_alleles.tsv:CS3.fa results_all/results_20221004T143059/results_alleles.tsv:CS6.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946985.1_PDT000670921.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015892105.1_PDT000902701.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891025.1_PDT000902769.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS17.fa results_all/results_20221004T143059/results_alleles.tsv:CS24.fa results_all/results_20221004T143059/results_alleles.tsv:CS29.fa results_all/results_20221004T143059/results_alleles.tsv:CS7.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889725.1_PDT000902854.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015944755.1_PDT000670972.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015944615.1_PDT000670976.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945875.1_PDT000670961.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946485.1_PDT000670933.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945595.1_PDT000670952.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946645.1_PDT000670932.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015946585.1_PDT000670927.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015889325.1_PDT000902863.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015890885.1_PDT000902778.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS12.fa results_all/results_20221004T143059/results_alleles.tsv:CS22.fa results_all/results_20221004T143059/results_alleles.tsv:CS28.fa results_all/results_20221004T143059/results_alleles.tsv:CS33.fa results_all/results_20221004T143059/results_alleles.tsv:CS18.fa results_all/results_20221004T143059/results_alleles.tsv:CS20.fa results_all/results_20221004T143059/results_alleles.tsv:CS23.fa results_all/results_20221004T143059/results_alleles.tsv:CS31.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016084535.1_PDT000173735.3_genomic.fa
10	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891545.1_PDT000902732.1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016084495.1_PDT000200506.2_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015945575.1_PDT000670951.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS21.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016085355.1_PDT000173738.2_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_900683645.1_57792_F02_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_001058455.1_ASM105845v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_008373895.1_ASM837389v1_genomic.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015891345.1_PDT000902740.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:CS30.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_015947025.1_PDT000670923.1_genomic.fa results_all/results_20221004T143059/results_alleles.tsv:B72.fa results_all/results_20221004T143059/results_alleles.tsv:CS1.fa results_all/results_20221004T143059/results_alleles.tsv:CS5.fa results_all/results_20221004T143059/results_alleles.tsv:CS8.fa results_cg/cgMLST_15/cgMLST.tsv:GCA_016889445.1_ASM1688944v1_genomic.fa
15	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa
20	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa
25	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa
30	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa
35	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa
40	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa
45	results_all/results_20221004T143059/results_alleles.tsv:CS34.fa
